,메뉴목록
257,초콜릿 칩 플랫치노
258,민트 초콜릿 칩 플랫치노
259,플레인 요거트 플랫치노
260,블루베리 요거트 플랫치노
261,딸기 요거트 플랫치노
262,오리진 쉐이크
263,초코쿠키 쉐이크
264,딸기 쉐이크
265,레몬 에이드
266,레몬 에이드
267,자몽 에이드
268,자몽 에이드
269,청포도 에이드
270,청포도 에이드
271,팥인절미 눈꽃빙
272,팥인절미 눈꽃빙
