자몽치	NNG
여자	NNG
선호	NNG
예가체프	NNG
쓴	NNG
쓴맛	NNG
산미	NNG
과일향	NNG
부드러워서	NNG
말차	NNG
에스프레소	NNG
품절	NNG
고객님	NNG
그린	NNG
스타벅스	NNG
잔액	NNG
3천	NNG
충전	NNG
2만	NNG
그랑데	NNG
1만	NNG
할인카드	NNG
1천원	NNG
할인율	NNG
연하게	NNG
요금	NNG
요즘	NNG
브런치	NNG
크로크무슈	NNG
민트	NNG
코	NNG
5500원	NNG
규정	NNG
마키아토	NNG
테이크아웃잔	NNG
올해	NNG
점포	NNG
1회용	NNG
교환권	NNG
교환	NNG
이곳	NNG
10퍼센트	NNG
유효기간	NNG
지하철	NNG
역	NNG
분당선	NNG
압구정	NNG
로데오	NNG
건물	NNG
뒤	NNG
주차장	NNG
쿠앤크	NNG
치노	NNG
피지와	NNG
라임	NNG
자몽	NNG
캐머마일	NNG
앞쪽	NNG
5000점	NNG
4500점	NNG
모카	NNG
런치세트	NNG
2시	NNG
치킨	NNG
파야냐	NNG
리저브	NNG
방법	NNG
과테말라	NNG
케냐	NNG
마이크로	NNG
블렌드	NNG
다크초콜릿	NNG
달콤	NNG
단	NNG
크림치즈케이크	NNG
아메리카	NNG
행사	NNG
공짜	NNG
벨	NNG
키오스크	NNG
유자차	NNG
차갑게	NNG
루이보서	NNG
KT	NNG
더블할인	NNG
9300원	NNG
고구마라테	NNG
****	NNG
제공	NNG
휴대번호	NNG
오픈	NNG
9시	NNG
캐러멜	NNG
드리블	NNG
통	NNG
잡아	NNG
칩	NNG
말씀	NNG
6700원	NNG
18000원	NNG
작은	NNG
앞에	NNG
맨날	NNG
나	NNG
매일	NNG
처음	NNG
날씨	NNG
만	NNG
미지근한	NNG
말차케이크	NNG
포크	NNG
태이크	NNG
정책	NNG
이용	NNG
왼쪽	NNG
크랜베리	NNG
두개	NNG
금액	NNG
오전	NNG
이전	NNG
위에	NNG
시그니처	NNG
데이바이데이	NNG
상태	NNG
추출	NNG
내리는	NNG
에티오피아	NNG
산	NNG
귀부인	NNG
향	NNG
꽃	NNG
깔끔한	NNG
밸런스	NNG
금방	NNG
콜롬비아산	NNG
미지근	NNG
핫	NNG
6천	NNG
9천	NNG
방침	NNG
일회용기	NNG
종료	NNG
평일	NNG
밤	NNG
1조각	NNG
잠시	NNG
크리스마스	NNG
50퍼센트	NNG
초코무스	NNG
5종류	NNG
종류별	NNG
모카프라프치노	NNG
6500원	NNG
VIP	NNG
연락처	NNG
만점	NNG
프로	NNG
5프로	NNG
최대	NNG
3조각	NNG
팩	NNG
진열	NNG
쿠키앤크림	NNG
초콜릿	NNG
스트로베리	NNG
바로	NNG
30분	NNG
5200원	NNG
벤티	NNG
200원	NNG
시원한	NNG
절반	NNG
학생	NNG
기둥	NNG
옆	NNG
신선	NNG
홀	NNG
1000원	NNG
아메리카노샷	NNG
2300원	NNG
약하게	NNG
많이	NNG
캐러맬	NNG
마끼야또	NNG
디저트	NNG
치즈베이글	NNG
별로	NNG
냅킨	NNG
뜨겁게	NNG
반	NNG
초코라테	NNG
아이	NNG
뱀파이어	NNG
로즈	NNG
재스민	NNG
2샷	NNG
신맛	NNG
초코케이크	NNG
5600원	NNG
핸드폰번호	NNG
토마토주스	NNG
설탕	NNG
마감시간	NNG
사장님	NNG
병원	NNG
더블	NNG
제휴카드	NNG
뉴욕	NNG
크기	NNG
솔로	NNG
도피오	NNG
트리플	NNG
손님	NNG
점보	NNG
캐러멜마키아토	NNG
스탬프	NNG
4개	NNG
5개	NNG
세트메뉴	NNG
이천	NNG
미팅룸	NNG
브런치류	NNG
여섯	NNG
삼천	NNG
녹차	NNG
스팀우유	NNG
오백	NNG
얼그레이	NNG
얼그레이티	NNG
하나카드	NNG
전화번호	NNG
핸드폰	NNG
#전화번호#	NNG
메뉴판	NNG
따듯한	NNG
키패드	NNG
의자	NNG
6잔	NNG
12개	NNG
혼자	NNG
운영	NNG
5시	NNG
적립금	NNG
어린이	NNG
과일주스	NNG
흡연	NNG
공간	NNG
흡연장소	NNG
1800원	NNG
갈아서	NNG
포인트카드	NNG
판매대	NNG
디저트류	NNG
단맛	NNG
버터	NNG
1봉지	NNG
봉지	NNG
주차증	NNG
3가지	NNG
딸기맛	NNG
저지방	NNG
브라질산	NNG
페루산	NNG
8천	NNG
장	NNG
10장	NNG
맞은편	NNG
3잔	NNG
13500원	NNG
3월	NNG
개시	NNG
트레이	NNG
13000원	NNG
5100원	NNG
단말기	NNG
아침	NNG
구매	NNG
천원	NNG
전자레인지	NNG
대표	NNG
토피넛라떼	NNG
투	NNG
4800원	NNG
9000원	NNG
카카오페이	NNG
찬물	NNG
저쪽	NNG
토피넛라테	NNG
4천500원	NNG
맥스	NNG
잉글리시	NNG
브렉퍼스트	NNG
2분	NNG
예정	NNG
아인슈페너	NNG
비엔나커피	NNG
쇼콜라티에	NNG
블랙베리	NNG
무스	NNG
kt	NNG
아래	NNG
제거	NNG
이천오백	NNG
8잔	NNG
오트밀	NNG
3500원	NNG
아포가토	NNG
아이스크림	NNG
허브티	NNG
잔샷	NNG
1샷	NNG
화이트초콜릿	NNG
업	NNG
보통	NNG
와플	NNG
유플러스	NNG
국민카드	NNG
두배	NNG
차갑	NNG
커피과테말라	NNG
시식	NNG
일행	NNG
각	NNG
갈린	NNG
셔벗	NNG
계절	NNG
1/2카페인	NNG
미디엄	NNG
이물질	NNG
열시	NNG
당도	NNG
테크	NNG
차액	NNG
크림치즈	NNG
가지	NNG
플라스틱	NNG
용기	NNG
망고	NNG
아침세트	NNG
5세트	NNG
애플파이	NNG
돌체	NNG
적립5600원	NNG
빙수류	NNG
집	NNG
과일청	NNG
영귤차	NNG
시원	NNG
새로운	NNG
출시	NNG
소문	NNG
뜨겁	NNG
라지사이즈	NNG
5300원	NNG
카페라테한	NNG
삼성	NNG
콜롬비아	NNG
레몬	NNG
청	NNG
8400원	NNG
초	NNG
27개	NNG
진열대	NNG
달콤한	NNG
원두.	NNG
주스하나	NNG
클럽샌드위치	NNG
8500원	NNG
구입	NNG
2배	NNG
크레이프	NNG
판	NNG
판케잌	NNG
6조각	NNG
개별	NNG
주의	NNG
34500원	NNG
일반우유	NNG
콜드브루	NNG
tall	NNG
숫자	NNG
버튼	NNG
6300원	NNG
튜너	NNG
네	NNG
포함	NNG
25000원	NNG
7500원	NNG
계산서	NNG
차게	NNG
뒷자리	NNG
7시	NNG
30잔	NNG
12만	NNG
CJ	NNG
one	NNG
쪽	NNG
점	NNG
프리쿠폰	NNG
쇼케이스	NNG
병음료	NNG
3700원	NNG
한가지	NNG
거품	NNG
안쪽	NNG
화장지	NNG
5800원	NNG
소진	NNG
증	NNG
발급	NNG
오렌지	NNG
추가금	NNG
에이드	NNG
제로	NNG
가맹점	NNG
지연	NNG
3분	NNG
옥수수빵	NNG
거스름돈	NNG
출입문	NNG
탁자	NNG
컵케이크	NNG
17000원	NNG
낮	NNG
서비스	NNG
이번	NNG
주	NNG
진행	NNG
15분	NNG
소요	NNG
대기인원	NNG
3팀	NNG
스파클링	NNG
3400원	NNG
오미자	NNG
5400원	NNG
안내	NNG
개인	NNG
지참	NNG
갈아	NNG
갈고	NNG
4900원	NNG
6100원	NNG
리코다	NNG
멜팅	NNG
12000원	NNG
셀프	NNG
리필	NNG
바나나	NNG
4300원	NNG
가나슈	NNG
레큘러	NNG
4700원	NNG
나무	NNG
브라질	NNG
표인트	NNG
딜라이트	NNG
오천육백원	NNG
추가요금	NNG
4600원	NNG
슈거	NNG
버블티	NNG
문자	NNG
티슈	NNG
5잔	NNG
아가	NNG
슈크림	NNG
HOT	NNG
8600원	NNG
네이버	NNG
13100원	NNG
5900원	NNG
처리	NNG
4천6백	NNG
국수	NNG
식사	NNG
소량	NNG
보리찰떡	NNG
팥	NNG
시나몬	NNG
콩빵	NNG
초코라떼	NNG
쌀라떼	NNG
곡물라떼	NNG
사진	NNG
어디	NNG
첫	NNG
번째	NNG
육천백	NNG
티바나	NNG
라임티	NNG
플래시	NNG
구콘	NNG
반대	NNG
쉬는	NNG
날	NNG
주말	NNG
로스팅	NNG
회원카드	NNG
교통카드	NNG
회원비	NNG
혜택	NNG
등급	NNG
별	NNG
빈도수	NNG
비례	NNG
저렴	NNG
카라멜	NNG
마끼아또	NNG
소스	NNG
핑크	NNG
솔트	NNG
비엔나	NNG
소금	NNG
핑크소스	NNG
짠맛	NNG
스몰사이즈	NNG
아메리치노	NNG
말	NNG
거픔층	NNG
오케이캐시백	NNG
롯데카드	NNG
SKT브로드밴드	NNG
브이아이피	NNG
더치커피	NNG
용품	NNG
열한시	NNG
샤케라또	NNG
쉐이크	NNG
형광커피	NNG
칵테일	NNG
쉐이커	NNG
여름	NNG
도수	NNG
여성	NNG
협회	NNG
업소	NNG
열	NNG
체인점	NNG
글씨	NNG
오백원	NNG
미리	NNG
육백미리	NNG
일년	NNG
신세계	NNG
관련	NNG
계열	NNG
전국	NNG
상품권	NNG
숏사이즈	NNG
톨사이즈	NNG
거	NNG
모두	NNG
필요	NNG
일반영수증	NNG
팔천칠백	NNG
바	NNG
바게트빵	NNG
이거	NNG
계피가루	NNG
밖	NNG
프라이팬	NNG
카모마일	NNG
달아	NNG
쿠키슈	NNG
밀크티라떼	NNG
베이스	NNG
햄	NNG
크로와상	NNG
사천오백	NNG
구천오백	NNG
셀프바	NNG
유상	NNG
돈	NNG
나중	NNG
천오백	NNG
해피머니	NNG
요기요	NNG
선물	NNG
천이백원	NNG
꿀복숭아	NNG
니트로커피	NNG
질소	NNG
9분	NNG
오리지널	NNG
오븐	NNG
구워	NNG
천구백원	NNG
가루	NNG
믹스커피	NNG
종이컵	NNG
딸기라떼	NNG
원액	NNG
아이스티	NNG
사천	NNG
맞은	NNG
편	NNG
친구	NNG
모임	NNG
애완견	NNG
병	NNG
삼대일	NNG
진하다	NNG
오대일	NNG
육대일	NNG
로얄	NNG
티백	NNG
베리민트	NNG
아트라떼	NNG
솔티치즈	NNG
잠깐	NNG
맘스터치	NNG
근처	NNG
빈자리	NNG
단속	NNG
고구마	NNG
아로니아	NNG
젊은	NNG
냉동	NNG
제품	NNG
곡물	NNG
돌체라떼	NNG
연유	NNG
무지방	NNG
삼천팔백	NNG
뜨거워	NNG
산부인과	NNG
은색	NNG
가격표	NNG
브래드	NNG
직접	NNG
수제와플	NNG
토스트	NNG
비슷	NNG
상가	NNG
만삼천	NNG
핸드드립	NNG
손	NNG
더치	NNG
핸드드립커피	NNG
하우스	NNG
에이	NNG
비	NNG
톰과	NNG
제리	NNG
모양	NNG
지하주차장	NNG
등록	NNG
고로케	NNG
계란	NNG
감자	NNG
도너츠	NNG
단팥	NNG
팥빵	NNG
베이커리	NNG
오천구백	NNG
새로	NNG
핫도그	NNG
육천	NNG
젤라또	NNG
주차공간	NNG
머랭쿠키	NNG
삼천오백	NNG
몰디브라떼	NNG
카라멜라떼	NNG
드립커피	NNG
일반	NNG
민감	NNG
제조용법	NNG
고온고압	NNG
드립	NNG
삼천백	NNG
오분	NNG
이층	NNG
정수물	NNG
음료수	NNG
허브	NNG
초콜렛	NNG
사천이백	NNG
퍼센트	NNG
오	NNG
문	NNG
초코음료	NNG
아이스초코	NNG
초코스무디	NNG
오천육백	NNG
해피포인트	NNG
에스케이	NNG
계단	NNG
생자몽	NNG
여러	NNG
명	NNG
