,이름,형태소
317,갈릭,NNG
318,비용,NNG
319,발생,NNG
320,픽업대,NNG
321,마카롱,NNG
322,계산,NNG
323,확인,NNG
324,차례,NNG
325,핫초코,NNG
326,10000원,NNG
327,레몬티,NNG
328,8800원,NNG
329,투샷,NNG
330,4샷,NNG
331,파이,NNG
332,생과일주스,NNG
333,달아서,NNG
334,오곡,NNG
335,달지,NNG
336,곡물가루,NNG
337,고소,NNG
338,따듯,NNG
339,통신사,NNG
340,오후,NNG
341,10시,NNG
342,엘지,NNG
343,플렛,NNG
344,진하게,NNG
345,차감,NNG
346,차가운,NNG
347,초코칩,NNG
348,자몽치,NNG
349,여자,NNG
350,선호,NNG
351,예가체프,NNG
352,쓴,NNG
353,쓴맛,NNG
354,산미,NNG
355,과일향,NNG
356,부드러워서,NNG
357,말차,NNG
358,에스프레소,NNG
359,품절,NNG
360,고객님,NNG
361,그린,NNG
362,스타벅스,NNG
363,잔액,NNG
364,3천,NNG
365,충전,NNG
366,2만,NNG
367,그랑데,NNG
368,1만,NNG
369,할인카드,NNG
370,1천원,NNG
371,할인율,NNG
372,연하게,NNG
373,요금,NNG
374,요즘,NNG
375,브런치,NNG
376,크로크무슈,NNG
377,민트,NNG
378,코,NNG
379,5500원,NNG
380,규정,NNG
381,마키아토,NNG
382,테이크아웃잔,NNG
383,올해,NNG
384,점포,NNG
385,1회용,NNG
386,교환권,NNG
387,교환,NNG
388,이곳,NNG
389,10퍼센트,NNG
390,유효기간,NNG
391,지하철,NNG
392,역,NNG
393,분당선,NNG
394,압구정,NNG
395,로데오,NNG
396,건물,NNG
397,뒤,NNG
398,주차장,NNG
399,쿠앤크,NNG
400,치노,NNG
401,피지와,NNG
402,라임,NNG
403,자몽,NNG
404,캐머마일,NNG
405,앞쪽,NNG
406,5000점,NNG
407,4500점,NNG
408,모카,NNG
409,런치세트,NNG
410,2시,NNG
411,치킨,NNG
412,파야냐,NNG
413,리저브,NNG
414,방법,NNG
415,과테말라,NNG
416,케냐,NNG
417,마이크로,NNG
418,블렌드,NNG
419,다크초콜릿,NNG
420,달콤,NNG
421,단,NNG
422,크림치즈케이크,NNG
423,아메리카,NNG
424,행사,NNG
425,공짜,NNG
426,벨,NNG
427,키오스크,NNG
428,유자차,NNG
429,차갑게,NNG
430,루이보서,NNG
431,KT,NNG
432,더블할인,NNG
433,9300원,NNG
434,고구마라테,NNG
435,****,NNG
436,제공,NNG
437,휴대번호,NNG
438,오픈,NNG
439,9시,NNG
440,캐러멜,NNG
441,드리블,NNG
442,통,NNG
443,잡아,NNG
444,칩,NNG
445,말씀,NNG
446,6700원,NNG
447,18000원,NNG
448,작은,NNG
449,앞에,NNG
450,맨날,NNG
451,나,NNG
452,매일,NNG
453,처음,NNG
454,날씨,NNG
455,만,NNG
456,미지근한,NNG
457,말차케이크,NNG
458,포크,NNG
459,태이크,NNG
460,정책,NNG
461,이용,NNG
462,왼쪽,NNG
463,크랜베리,NNG
464,두개,NNG
465,금액,NNG
466,오전,NNG
467,이전,NNG
468,위에,NNG
469,시그니처,NNG
470,데이바이데이,NNG
471,상태,NNG
472,추출,NNG
473,내리는,NNG
474,에티오피아,NNG
475,산,NNG
476,귀부인,NNG
477,향,NNG
478,꽃,NNG
479,깔끔한,NNG
480,밸런스,NNG
481,금방,NNG
482,콜롬비아산,NNG
483,미지근,NNG
484,핫,NNG
485,6천,NNG
486,9천,NNG
487,방침,NNG
488,일회용기,NNG
489,종료,NNG
490,평일,NNG
491,밤,NNG
492,1조각,NNG
493,잠시,NNG
494,크리스마스,NNG
495,50퍼센트,NNG
496,초코무스,NNG
497,5종류,NNG
498,종류별,NNG
499,모카프라프치노,NNG
500,6500원,NNG
501,VIP,NNG
502,연락처,NNG
503,만점,NNG
504,프로,NNG
505,5프로,NNG
506,최대,NNG
507,3조각,NNG
508,팩,NNG
509,진열,NNG
510,쿠키앤크림,NNG
511,초콜릿,NNG
512,스트로베리,NNG
513,바로,NNG
514,30분,NNG
515,5200원,NNG
516,벤티,NNG
517,200원,NNG
518,시원한,NNG
519,절반,NNG
520,학생,NNG
521,기둥,NNG
522,옆,NNG
523,신선,NNG
524,홀,NNG
525,1000원,NNG
526,아메리카노샷,NNG
527,2300원,NNG
528,약하게,NNG
529,많이,NNG
530,캐러맬,NNG
531,마끼야또,NNG
532,디저트,NNG
533,치즈베이글,NNG
534,별로,NNG
535,냅킨,NNG
536,뜨겁게,NNG
537,반,NNG
538,초코라테,NNG
539,아이,NNG
540,뱀파이어,NNG
541,로즈,NNG
542,재스민,NNG
543,2샷,NNG
544,신맛,NNG
545,초코케이크,NNG
546,5600원,NNG
547,핸드폰번호,NNG
548,토마토주스,NNG
549,설탕,NNG
550,마감시간,NNG
551,사장님,NNG
552,병원,NNG
553,더블,NNG
554,제휴카드,NNG
555,뉴욕,NNG
556,크기,NNG
557,솔로,NNG
558,도피오,NNG
559,트리플,NNG
560,손님,NNG
561,점보,NNG
562,캐러멜마키아토,NNG
563,스탬프,NNG
564,4개,NNG
565,5개,NNG
566,세트메뉴,NNG
567,이천,NNG
568,미팅룸,NNG
569,브런치류,NNG
570,여섯,NNG
571,삼천,NNG
572,녹차,NNG
573,스팀우유,NNG
574,오백,NNG
575,얼그레이,NNG
576,얼그레이티,NNG
577,하나카드,NNG
578,전화번호,NNG
579,핸드폰,NNG
580,#전화번호#,NNG
581,메뉴판,NNG
582,따듯한,NNG
583,키패드,NNG
584,의자,NNG
585,6잔,NNG
586,12개,NNG
587,혼자,NNG
588,운영,NNG
589,5시,NNG
590,적립금,NNG
591,어린이,NNG
592,과일주스,NNG
593,흡연,NNG
594,공간,NNG
595,흡연장소,NNG
596,1800원,NNG
597,갈아서,NNG
598,포인트카드,NNG
599,판매대,NNG
600,디저트류,NNG
601,단맛,NNG
602,버터,NNG
603,1봉지,NNG
604,봉지,NNG
605,주차증,NNG
606,3가지,NNG
607,딸기맛,NNG
608,저지방,NNG
609,브라질산,NNG
610,페루산,NNG
611,8천,NNG
612,장,NNG
613,10장,NNG
614,맞은편,NNG
615,3잔,NNG
616,13500원,NNG
617,3월,NNG
618,개시,NNG
619,트레이,NNG
620,13000원,NNG
621,5100원,NNG
622,단말기,NNG
623,아침,NNG
624,구매,NNG
625,천원,NNG
626,전자레인지,NNG
627,대표,NNG
628,토피넛라떼,NNG
629,투,NNG
630,4800원,NNG
631,9000원,NNG
632,카카오페이,NNG
633,찬물,NNG
634,저쪽,NNG
635,토피넛라테,NNG
636,4천500원,NNG
637,맥스,NNG
638,잉글리시,NNG
639,브렉퍼스트,NNG
640,2분,NNG
641,예정,NNG
642,아인슈페너,NNG
643,비엔나커피,NNG
644,쇼콜라티에,NNG
645,블랙베리,NNG
646,무스,NNG
647,kt,NNG
648,아래,NNG
649,제거,NNG
650,이천오백,NNG
651,8잔,NNG
652,오트밀,NNG
653,3500원,NNG
654,아포가토,NNG
655,아이스크림,NNG
656,허브티,NNG
657,잔샷,NNG
658,1샷,NNG
659,화이트초콜릿,NNG
660,업,NNG
661,보통,NNG
662,와플,NNG
663,유플러스,NNG
664,국민카드,NNG
665,두배,NNG
666,차갑,NNG
667,커피과테말라,NNG
668,시식,NNG
669,일행,NNG
670,각,NNG
671,갈린,NNG
672,셔벗,NNG
673,계절,NNG
674,1/2카페인,NNG
675,미디엄,NNG
676,이물질,NNG
677,열시,NNG
678,당도,NNG
679,테크,NNG
680,차액,NNG
681,크림치즈,NNG
682,가지,NNG
683,플라스틱,NNG
684,용기,NNG
685,망고,NNG
686,아침세트,NNG
687,5세트,NNG
688,애플파이,NNG
689,돌체,NNG
690,적립5600원,NNG
691,빙수류,NNG
692,집,NNG
693,과일청,NNG
694,영귤차,NNG
695,시원,NNG
696,새로운,NNG
697,출시,NNG
698,소문,NNG
699,뜨겁,NNG
700,라지사이즈,NNG
701,5300원,NNG
702,카페라테한,NNG
703,삼성,NNG
704,콜롬비아,NNG
705,레몬,NNG
706,청,NNG
707,8400원,NNG
708,초,NNG
709,27개,NNG
710,진열대,NNG
711,달콤한,NNG
712,원두.,NNG
713,주스하나,NNG
714,클럽샌드위치,NNG
715,8500원,NNG
716,구입,NNG
717,2배,NNG
718,크레이프,NNG
719,판,NNG
720,판케ㅤㅇㅣㅋ,NNG
721,6조각,NNG
722,개별,NNG
723,주의,NNG
724,34500원,NNG
725,일반우유,NNG
726,콜드브루,NNG
727,tall,NNG
728,숫자,NNG
729,버튼,NNG
730,6300원,NNG
731,튜너,NNG
732,네,NNG
