가게카페	NNG
가나슈	NNG
갈릭	NNG
갈릭 치즈 브레드	NNG
감귤라테	NNG
개인컵	NNG
거품시나몬가루	NNG
거품시나몬카페	NNG
거픔층	NNG
겨울생강	NNG
결제금액	NNG
결제수단	NNG
결제카드	NNG
계량컵	NNG
계피가루	NNG
고구마 라떼	NNG
고구마 말랭이	NNG
고구마라떼	NNG
고구마라테	NNG
곡물가루	NNG
곡물라떼	NNG
골드	NNG
골드키위주스	NNG
공영주차장	NNG
과일와인탄산수음료	NNG
과일주스	NNG
과일청	NNG
과일향	NNG
과테말라	NNG
교통카드	NNG
교환권	NNG
국민카드	NNG
군고구마	NNG
그란데	NNG
그랑데	NNG
그린라떼	NNG
그린루이보스	NNG
그린티	NNG
그릴드 치킨 샐러드 & 시저 드레싱	NNG
금액저장쿠폰가격	NNG
기름층	NNG
기프트카드	NNG
기프티콘	NNG
까르보나라 구운주먹밥	NNG
꽈배기	NNG
꿀복숭아	NNG
꿀복숭아 플랫치노	NNG
꿀아메리카노꿀	NNG
꿀오란다	NNG
꿀호떡	NNG
냅킨	NNG
냉동과일	NNG
냉동제품	NNG
냉동필라프	NNG
녹차 라떼	NNG
녹차 플랫치노	NNG
녹차가루	NNG
녹차라떼	NNG
녹차라떼하나	NNG
녹차라테	NNG
농축액	NNG
뉴욕	NNG
니트로	NNG
니트로커피	NNG
다방커피	NNG
다방커피다방	NNG
다콰즈	NNG
다쿠아즈케이크	NNG
다크초콜릿	NNG
달고나 믹스치노	NNG
달고나 아이스크림 와플	NNG
대만샌드위치	NNG
더블 치즈 케이크	NNG
더블 토피넛 라떼	NNG
더블 토피넛 위드샷	NNG
더블그린	NNG
더블에스프레소	NNG
더블할인	NNG
더치	NNG
더치라떼	NNG
더치물	NNG
더치아메리카노	NNG
더치커피	NNG
데블스 초코 케이크	NNG
데이바이데이	NNG
도너츠	NNG
도피오	NNG
돌체	NNG
돌체라떼	NNG
두부텐더 콥샐러드	NNG
드란티	NNG
드리블	NNG
드립	NNG
드립커피	NNG
디저트	NNG
디저트류	NNG
디카페인	NNG
디카페인 버블 흑당 콜드브루	NNG
디카페인 연유 콜드브루	NNG
디카페인 콜드브루 니트로	NNG
디카페인 콜드브루 라떼	NNG
디카페인 콜드브루 아메리카노	NNG
디카페인 콜드브루 크림넛	NNG
디카페인 콜드브루 화이트비엔나	NNG
디카페인 흑당 콜드브루	NNG
디카페인카페인	NNG
디카페인카페인절반	NNG
디카페인커피둘	NNG
딜라이트	NNG
딥초고	NNG
딥초코	NNG
따뜻녹차라떼	NNG
딸기 쉐이크	NNG
딸기 요거트 플랫치노	NNG
딸기라떼	NNG
딸기마카롱	NNG
딸기스무디	NNG
딸기잼	NNG
딸기주스	NNG
딸기치즈 눈꽃빙수	NNG
딸기피치 요거놀라 1인빙수	NNG
땅콩카라멜라떼	NNG
떠먹는 티라미수	NNG
라떼	NNG
라떼고구마오븐	NNG
라떼당도	NNG
라떼더치	NNG
라떼샷우유	NNG
라떼설탕	NNG
라떼스윗앤솔티	NNG
라떼에스프레소바닐라맛아이스크림토피넛	NNG
라떼에스프레소호두땅콩	NNG
라떼연유	NNG
라떼우유	NNG
라떼원당시럽음료	NNG
라떼초코	NNG
라떼토피넛	NNG
라인	NNG
라임	NNG
라임티	NNG
라자냐	NNG
라즈베리	NNG
라테	NNG
럭키백	NNG
런치세트	NNG
레귤러	NNG
레드벨벳	NNG
레몬	NNG
레몬 마스카포네	NNG
레몬 스윗플럼	NNG
레몬 에이드	NNG
레몬밤	NNG
레몬에이드	NNG
레몬유자차	NNG
레몬차	NNG
레몬청	NNG
레몬티	NNG
로스터리	NNG
로스팅	NNG
로얄	NNG
로얄밀크티	NNG
로얄비트쉬폰	NNG
로이보스	NNG
로즈	NNG
롯데	NNG
롯데상품권	NNG
롯데카드	NNG
루이보서	NNG
루이보스	NNG
루이보스차	NNG
리코다	NNG
리트로콜드브루	NNG
리필	NNG
마감시간	NNG
마끼아또	NNG
마끼아또라떼카라멜	NNG
마끼아또카페	NNG
마끼야또	NNG
마론마키야또	NNG
마샬라차이	NNG
마스카포네 티라미수	NNG
마스코트	NNG
마이크로	NNG
마카롱	NNG
마키아토	NNG
마키야또	NNG
말차	NNG
말차케이크	NNG
맘스터치	NNG
맛아메리카노달달한맛라떼바닐라라떼우유음료	NNG
망고	NNG
망고 눈꽃빙수	NNG
망고 플랫치노	NNG
망고요거트 1인빙수	NNG
망고주스	NNG
망고패션 요거놀라 1인빙수	NNG
매콤 로제 구운주먹밥	NNG
맥도날드	NNG
머그잔	NNG
머그컵	NNG
머랭	NNG
머랭쿠키	NNG
머스켓	NNG
머핀	NNG
메가리카노	NNG
메뉴판	NNG
메이플	NNG
메이플 넛 브레드	NNG
메이플 와플	NNG
메이플라떼	NNG
멤버쉽	NNG
멤버십	NNG
모과차	NNG
모바일	NNG
모카	NNG
모카 플랫치노	NNG
모카라떼	NNG
모카라떼초코시럽휘핑	NNG
모카치노	NNG
모카칩 믹스치노	NNG
모카카라멜	NNG
모카카페	NNG
모카텀블러	NNG
모카프라프치노	NNG
모카화이트	NNG
모카휘핑	NNG
모히또	NNG
모히토	NNG
모히토커피라떼	NNG
몰디브라떼	NNG
무료제공	NNG
무스	NNG
무알콜	NNG
무지방	NNG
물미네랄미네랄물커피	NNG
물티슈	NNG
뭐드러갔슈	NNG
미니 코코 크런치	NNG
미니프레첼 볶음양념맛	NNG
미니프레첼 와사비맛	NNG
미디엄	NNG
미숫가루	NNG
미숫가루우유꿀	NNG
믹스라떼	NNG
믹스커피	NNG
민트	NNG
민트 모카	NNG
민트 초콜릿	NNG
민트 초콜릿 칩 플랫치노	NNG
민트라떼	NNG
민트시럽	NNG
